name,Collection,entry_year,Destination.after.study
"Whyttock, Alexander","Early Veterinary Graduates, 1825-1865",1843,Perthshire
"Kay, James","Early Veterinary Graduates, 1825-1865",1846,"Forgandenny, Perthshire"
"Anderson, William","Early Veterinary Graduates, 1825-1865",1835,Glasgow
"Waters, George","Early Veterinary Graduates, 1825-1865",1845,"Buntingford, Herts"
"Eaglonson, John","Early Veterinary Graduates, 1825-1865",1844,"Stranraer, Wigtown"
"Robertson, William","Early Veterinary Graduates, 1825-1865",1862,Kelso
"Wishart, Philip","Early Veterinary Graduates, 1825-1865",1844,Haddington
"Mellis, Thomas","Early Veterinary Graduates, 1825-1865",1862,"Inverury, Aberdeenshire"
"Harrison, Nicolas","Early Veterinary Graduates, 1825-1865",1863,"Swansea, Wales"
"Chambers, William","Early Veterinary Graduates, 1825-1865",1854,Liverpool
"Glover, Robert H.","Early Veterinary Graduates, 1825-1865",1841,Dumfries
"Shields, William","Early Veterinary Graduates, 1825-1865",1830,"Arbirlot, Forfar"
"Drysdale, James","Early Veterinary Graduates, 1825-1865",1833,New York
"Smith, Alexander","Early Veterinary Graduates, 1825-1865",1842,"Appletreehall, Roxburgh"
"Lewis, Edward","Early Veterinary Graduates, 1825-1865",1866,"Great Budworth, Cheshire"
"Scott, Robert","Early Veterinary Graduates, 1825-1865",1862,"Warwick, Roxburgh"
"Morris, William","Early Veterinary Graduates, 1825-1865",1864,Aberdeen
"Taylor, Walter","Early Veterinary Graduates, 1825-1865",1857,Cheshire
"Allen, Thomas","Early Veterinary Graduates, 1825-1865",1839,Perthshire
"Gardner, B. R. C","Early Veterinary Graduates, 1825-1865",1843,"Staff Veter. Surgeon, Army"
"Gllespie, John","Early Veterinary Graduates, 1825-1865",1856,Lockerbie
"Murray, John","Early Veterinary Graduates, 1825-1865",1830,Dunse
"Smith, David","Early Veterinary Graduates, 1825-1865",1828,Fettercairn
"Butler, Walter S.","Early Veterinary Graduates, 1825-1865",1836,Dalkeith
"Robb, Andrew","Early Veterinary Graduates, 1825-1865",1861,"Parkhead, Glasgow"
"Martin, Edward","Early Veterinary Graduates, 1825-1865",1850,"Camoyle, Forfar"
"Howatt, Eryoe","Early Veterinary Graduates, 1825-1865",1858,"Londonderry, Ireland"
"Taylor, Thomas","Early Veterinary Graduates, 1825-1865",1859,Manchester
"Patterson, Charles","Early Veterinary Graduates, 1825-1865",1853,Hull
"M'Intosh, Robert","Early Veterinary Graduates, 1825-1865",1839,Australia
"Brenning, Richard","Early Veterinary Graduates, 1825-1865",1842,"Waterloo, Liverpool"
"Purves, George","Early Veterinary Graduates, 1825-1865",1834,Stirling
"Gleig, William","Early Veterinary Graduates, 1825-1865",1850,"Hatton of Fotheringham, Forfarshire"
"Donaldson, John","Early Veterinary Graduates, 1825-1865",1862,Paisley
"Riddell, Joseph","Early Veterinary Graduates, 1825-1865",1827,Abergeldie
"Eastcott, William","Early Veterinary Graduates, 1825-1865",1863,"Broadwood, Devonshire"
"Scott, George","Early Veterinary Graduates, 1825-1865",1861,"Earlston, Berwickshire"
"Haggard, Edward","Early Veterinary Graduates, 1825-1865",1839,America
"Mennie, George","Early Veterinary Graduates, 1825-1865",1857,"Skene, Aberdeenshire"
"Lewis, George","Early Veterinary Graduates, 1825-1865",1861,Monmouth
"M'Arthur, Alexander","Early Veterinary Graduates, 1825-1865",1863,"Largs, Ayrshire"
"Nuttal, Edmund","Early Veterinary Graduates, 1825-1865",1863,"Bury, Lancashire"
"Montgomery, Edward","Early Veterinary Graduates, 1825-1865",1858,Dublin
"Tuthill, John","Early Veterinary Graduates, 1825-1865",1852,Tralee
"Moore, Robert","Early Veterinary Graduates, 1825-1865",1865,London
"Sharpe, James","Early Veterinary Graduates, 1825-1865",1850,Hamilton
"Moir, Peter","Early Veterinary Graduates, 1825-1865",1861,Army
"Herriott, Arthur","Early Veterinary Graduates, 1825-1865",1831,"Polmont, Stirlingshire"
"Booth, George","Early Veterinary Graduates, 1825-1865",1847,Dundee
"Millar, William","Early Veterinary Graduates, 1825-1865",1853,"Methven, Perthshire"
"Bird, William,","Early Veterinary Graduates, 1825-1865",1851,"Belford,"
"Kirk, Benjamin E.","Early Veterinary Graduates, 1825-1865",1863,United States Army
"Grierson, William","Early Veterinary Graduates, 1825-1865",1844,Kirkcudbright
"Fawcett, Benjamin","Early Veterinary Graduates, 1825-1865",1855,Ponteland
"Glennie, Matthew","Early Veterinary Graduates, 1825-1865",1843,Coupar-Angus
"Howatt, John","Early Veterinary Graduates, 1825-1865",1848,Pollokshaws
"Moore, James","Early Veterinary Graduates, 1825-1865",1837,London
"Leather, Joseph","Early Veterinary Graduates, 1825-1865",1862,"Douglas, Isle of Man"
"Findlater, Richard","Early Veterinary Graduates, 1825-1865",1844,"Carstairs, Lanarkshire"
"Forrest, Samuel","Early Veterinary Graduates, 1825-1865",1842,"Carluke, Lanarkshire"
"Knox, George","Early Veterinary Graduates, 1825-1865",1846,Haddington
"Lewis, Walter","Early Veterinary Graduates, 1825-1865",1856,"Crewe, Cheshire"
"Parks, Henry","Early Veterinary Graduates, 1825-1865",1852,Liverpool
"Gilmour, John","Early Veterinary Graduates, 1825-1865",1850,"Clonmel, Ireland"
"Gow, Alexander","Early Veterinary Graduates, 1825-1865",1857,Blair-Athole
"Laing, Robert","Early Veterinary Graduates, 1825-1865",1861,Carron
"Waterhouse, William","Early Veterinary Graduates, 1825-1865",1866,"Briarly Manor, Barnsley"
"Hammond, John","Early Veterinary Graduates, 1825-1865",1865,Newton-Stewart
"Mitchell, Andrew","Early Veterinary Graduates, 1825-1865",1850,"Barr, Ayrshire"
"Baxter, William","Early Veterinary Graduates, 1825-1865",1846,Dundee
"Bain, Peter","Early Veterinary Graduates, 1825-1865",1863,"Doune, Perthshire"
"Robertson, James","Early Veterinary Graduates, 1825-1865",1838,"Half-pay, Army"
"Healey, Michael F.","Early Veterinary Graduates, 1825-1865",1861,Army
"Gofton, John","Early Veterinary Graduates, 1825-1865",1862,"Rothbury, Northumberland"
"Swarbrek, Thomas","Early Veterinary Graduates, 1825-1865",1841,"Preston, Lancashire"
"Dixon, James C.","Early Veterinary Graduates, 1825-1865",1862,Peebles
"Dobie, William","Early Veterinary Graduates, 1825-1865",1857,"Pierseton, Ayrshire"
"Pottie, Alexander","Early Veterinary Graduates, 1825-1865",1860,Renfrew
"Lees, Robert","Early Veterinary Graduates, 1825-1865",1862,"Tarbolton, Ayrshire,"
"M'Millan, Hugh","Early Veterinary Graduates, 1825-1865",1861,Aberfeldy
"Dunlop, Alexander","Early Veterinary Graduates, 1825-1865",1837,Airdrie
"Lawton, Peter","Early Veterinary Graduates, 1825-1865",1862,"Alderley, Cheshire"
"Bell, John","Early Veterinary Graduates, 1825-1865",1861,"Clonmel, Ireland"
"Keyes, H. O'Sullivan","Early Veterinary Graduates, 1825-1865",1856,"Limerick, Ireland"
"M'Lean, Lachlan","Early Veterinary Graduates, 1825-1865",1854,Dunfermline
"Lewis, John F.","Early Veterinary Graduates, 1825-1865",1862,"Hartlebury, Worcester"
"Connachie, James","Early Veterinary Graduates, 1825-1865",1860,"West Struther, Berwickshire"
"Currie, John","Early Veterinary Graduates, 1825-1865",1838,"Bowland, Galashiels"
"Ritchie, Andrew","Early Veterinary Graduates, 1825-1865",1847,Laurencekirk
"Hulme, Peter Leicester","Early Veterinary Graduates, 1825-1865",1850,Manchester
"Storar, James","Early Veterinary Graduates, 1825-1865",1848,"The Palace, Dubford, Banff"
"Lockhart, William","Early Veterinary Graduates, 1825-1865",1849,New York
"Turnbull, Archibald","Early Veterinary Graduates, 1825-1865",1846,"East India Co., Bengal"
"Little, William","Early Veterinary Graduates, 1825-1865",1866,"North Cave, Yorkshire"
"Halfey, Joseph","Early Veterinary Graduates, 1825-1865",1858,"Southport, Lancashire"
"Dent, William","Early Veterinary Graduates, 1825-1865",1865,Westmoreland
"Allen, David","Early Veterinary Graduates, 1825-1865",1839,Renfrewshire
"Laidlaw, Robert","Early Veterinary Graduates, 1825-1865",1840,"Montreal, America"
"Jones, Hugh","Early Veterinary Graduates, 1825-1865",1864,"Paygrove, Caernarvonshire"
"Worthington, William","Early Veterinary Graduates, 1825-1865",1863,"Garstang, Lancashire"
"Boag, William","Early Veterinary Graduates, 1825-1865",1843,Kilham
"Donald, Archibald","Early Veterinary Graduates, 1825-1865",1866,Paisley
"Mitchell, John","Early Veterinary Graduates, 1825-1865",1865,Aberdeenshire
"Harrison, George","Early Veterinary Graduates, 1825-1865",1842,"Croft, Leicester"
"Dale, Arthur D.","Early Veterinary Graduates, 1825-1865",1864,"Cadishead, Lancashire"
"Bulman, Robert","Early Veterinary Graduates, 1825-1865",1866,Hexham
"Taylor, William","Early Veterinary Graduates, 1825-1865",1856,Australia
"Dickie, James","Early Veterinary Graduates, 1825-1865",1859,"Auchencruve, Ayrshire"
"Fry, Thomas","Early Veterinary Graduates, 1825-1865",1854,"Virginstone, Devonshire"
"Terry, William","Early Veterinary Graduates, 1825-1865",1843,"Wells, Norfolk"
"Dodds, Robert","Early Veterinary Graduates, 1825-1865",1825,Kirkcaldy
"Tait, George","Early Veterinary Graduates, 1825-1865",1824,Meigle
"Johnson, James","Early Veterinary Graduates, 1825-1865",1844,"Millerhill, Edinburghshire"
"Gill, David","Early Veterinary Graduates, 1825-1865",1858,Aberdeenshire
"Ross, Adam","Early Veterinary Graduates, 1825-1865",1833,Inverness-shire
"Wood, William","Early Veterinary Graduates, 1825-1865",1854,Wigan
"Peebles, James","Early Veterinary Graduates, 1825-1865",1860,"Lochee, Forfarshire"
"Gardiner, James","Early Veterinary Graduates, 1825-1865",1830,Alexandria by Dumbarton
"Dudfield, James","Early Veterinary Graduates, 1825-1865",1854,"Rose, Gloucester"
"Collins, James","Early Veterinary Graduates, 1825-1865",1852,6th Inniskilling Dragoons
"Brown, John","Early Veterinary Graduates, 1825-1865",1859,West Calder
"Dawson, Jacob","Early Veterinary Graduates, 1825-1865",1860,"Kettering, Northampton"
"Buchanan, Duncan","Early Veterinary Graduates, 1825-1865",1854,"Kenmore, Perthshire"
"Lockwood, Noel","Early Veterinary Graduates, 1825-1865",1847,"Hull, Yorkshire"
"Smith, William","Early Veterinary Graduates, 1825-1865",1841,"Redstone, Perthshire"
"Hepburn, William","Early Veterinary Graduates, 1825-1865",1839,Laurencekirk
"Young, George","Early Veterinary Graduates, 1825-1865",1865,Haddington
"Hick, William","Early Veterinary Graduates, 1825-1865",1851,"Fulford, York"
"Millar, George","Early Veterinary Graduates, 1825-1865",1845,"Bradninch, Devon"
"Brosnan, John","Early Veterinary Graduates, 1825-1865",1860,"Tralee, Ireland"
"Tennant, Charles","Early Veterinary Graduates, 1825-1865",1844,Maybole
"Wilson, James","Early Veterinary Graduates, 1825-1865",1860,Australia
"Hepburn, William","Early Veterinary Graduates, 1825-1865",1857,Kinross-shire
"Phillipson, Thomas","Early Veterinary Graduates, 1825-1865",1836,Stamfordham
"Martin, James","Early Veterinary Graduates, 1825-1865",1864,"Navan, Co. Meath"
"Forbes, Charles","Early Veterinary Graduates, 1825-1865",1841,Aberdeenshire
"Lamb, William","Early Veterinary Graduates, 1825-1865",1850,Indian Army
"Kay, John","Early Veterinary Graduates, 1825-1865",1843,"Pontefract, Yorkshire"
"Fleming, George","Early Veterinary Graduates, 1825-1865",1855,3d Hussars
"Stewart, George","Early Veterinary Graduates, 1825-1865",1861,Penrith
"Reid, Alexander","Early Veterinary Graduates, 1825-1865",1857,"Towie, Aberdeenshire"
"Whitney, W. S.","Early Veterinary Graduates, 1825-1865",1866,Cork
"M'Lean, John","Early Veterinary Graduates, 1825-1865",1837,Renfrew
"Olden, Robert, Senior","Early Veterinary Graduates, 1825-1865",1839,Cork
"Liddle, John","Early Veterinary Graduates, 1825-1865",1833,"Brockholes, Berwickshire"
"Dow, John","Early Veterinary Graduates, 1825-1865",1860,"Birnam, Dunkeld"
"Simmonds, Benjamin","Early Veterinary Graduates, 1825-1865",1856,London
"Duncan, Alexander","Early Veterinary Graduates, 1825-1865",1851,"Methlic, Aberdeen"
"Merry, Charles","Early Veterinary Graduates, 1825-1865",1863,"Cumnock, Ayrshire"
"Falconer, John,","Early Veterinary Graduates, 1825-1865",1835,Loanhead
"Simpson, Andrew","Early Veterinary Graduates, 1825-1865",1860,Fettercairn
"Reid, Andrew","Early Veterinary Graduates, 1825-1865",1859,"Cluny, Fifeshire"
"M'Lachlan, David","Early Veterinary Graduates, 1825-1865",1864,Paisley
"Livingston, James","Early Veterinary Graduates, 1825-1865",1827,Strathtay
"Paterson, Robert B.","Early Veterinary Graduates, 1825-1865",1840,Dumfries
"Dewar, William","Early Veterinary Graduates, 1825-1865",1839,Midmar
"Hay, Thomas","Early Veterinary Graduates, 1825-1865",1850,"Kirkmichael, Banff"
"Hall, Robhert","Early Veterinary Graduates, 1825-1865",1864,"Stockton-on-Tees, Durham"
"Mann, Andrew","Early Veterinary Graduates, 1825-1865",1865,"Lambton, Durham"
"Hutchinson, Hope","Early Veterinary Graduates, 1825-1865",1827,Scone
"Smith, William","Early Veterinary Graduates, 1825-1865",1852,Tranent
"M'Intosh, W","Early Veterinary Graduates, 1825-1865",1839,Australia
"St Clair, John Pattison","Early Veterinary Graduates, 1825-1865",1835,Lancaster
"Connachie, William","Early Veterinary Graduates, 1825-1865",1858,Selkirk
"Stewart, John","Early Veterinary Graduates, 1825-1865",1827,Perth
"Quick, John Couch","Early Veterinary Graduates, 1825-1865",1841,St Ives
"Jack, William","Early Veterinary Graduates, 1825-1865",1858,Montrose
"Brockhurst, Lewis","Early Veterinary Graduates, 1825-1865",1838,Hastings
"Cox, Albert S.","Early Veterinary Graduates, 1825-1865",1866,Manchester
"Williams, John","Early Veterinary Graduates, 1825-1865",1845,St Asaph
"Thomson, John","Early Veterinary Graduates, 1825-1865",1843,Bridge of Ardrock
"Smith, Benjamin","Early Veterinary Graduates, 1825-1865",1863,"Darton, Yorkshire"
"Fitzwigram, Lieut. -Col. F.","Early Veterinary Graduates, 1825-1865",1854,15th Hussars
"Copeland, Henry","Early Veterinary Graduates, 1825-1865",1853,"Garstang, Lincolnshire"
"Proudfoot, George","Early Veterinary Graduates, 1825-1865",1855,Eastgate
"Ewan, David","Early Veterinary Graduates, 1825-1865",1851,"Barry, Forfarshire"
"Frater, William","Early Veterinary Graduates, 1825-1865",1864,"Hawksland, Lanarkshire"
"Walker, William","Early Veterinary Graduates, 1825-1865",1829,"Dundonald, Ayrshire"
