name,Collection,entry_year,Destination.after.study
"Sandeman, James","Early Veterinary Graduates, 1825-1865",1834,"Cortachy, Forfar"
"Hamilton, Alexander","Early Veterinary Graduates, 1825-1865",1861,New Zealand
"Gray, Charles","Early Veterinary Graduates, 1825-1865",1861,Wishaw
"Paton, James G.","Early Veterinary Graduates, 1825-1865",1865,Manchester
"Borrowman, A.","Early Veterinary Graduates, 1825-1865",1847,Kirkcaldy
"Loader, Thomas","Early Veterinary Graduates, 1825-1865",1843,"Basingstoke, Hampshire"
"Thomson, David","Early Veterinary Graduates, 1825-1865",1859,Trinidad
"Steele, John","Early Veterinary Graduates, 1825-1865",1862,Australia
"Brown, Andrew John","Early Veterinary Graduates, 1825-1865",1856,"South Hindley, Yorkshire"
"Hall, William","Early Veterinary Graduates, 1825-1865",1861,6th Dragoon Guards
"Lang, Robert","Early Veterinary Graduates, 1825-1865",1858,"Bridge of Weir, Renfrew"
"Brackenridge, Alex.","Early Veterinary Graduates, 1825-1865",1861,"Holytown, Lanark"
"Corcar, Chambre","Early Veterinary Graduates, 1825-1865",1854,East India Company
"Wright, J. W.","Early Veterinary Graduates, 1825-1865",1866,"Bilbrough, Yorkshire"
"Byrne, John H.","Early Veterinary Graduates, 1825-1865",1863,"Naples, Italy"
"Wright, William","Early Veterinary Graduates, 1825-1865",1857,"Tideswell, Derbyshire"
"Gould, William","Early Veterinary Graduates, 1825-1865",1864,"Whitchurch, Shropshire"
"Evans, William","Early Veterinary Graduates, 1825-1865",1863,Co. Cork
"Mitchell, William","Early Veterinary Graduates, 1825-1865",1849,"Bathgate, Linhthgowshire"
"Ferguson, Patrick","Early Veterinary Graduates, 1825-1865",1833,Peebles
"Peech, John D.","Early Veterinary Graduates, 1825-1865",1851,"Wentworth, Yorkshire"
"Hampton, Peter","Early Veterinary Graduates, 1825-1865",1851,Arbroath
"Bowman, John","Early Veterinary Graduates, 1825-1865",1852,"Elvington, Yorkshire"
"Smith, Walter","Early Veterinary Graduates, 1825-1865",1827,Eglinton
"Bremner, George","Early Veterinary Graduates, 1825-1865",1860,"Monikie, Forfarshire"
"Shepherd, Richard","Early Veterinary Graduates, 1825-1865",1856,Pickering
"Dycer, Edward","Early Veterinary Graduates, 1825-1865",1838,Dublin
"Gordon, William","Early Veterinary Graduates, 1825-1865",1860,Kirkmichael
"White, Thomas","Early Veterinary Graduates, 1825-1865",1861,"Corwen, Wales"
"Bisset, James","Early Veterinary Graduates, 1825-1865",1839,Brechin
"Anderson, John","Early Veterinary Graduates, 1825-1865",1858,Royal Artillery
"Linton, George","Early Veterinary Graduates, 1825-1865",1855,Bishop Auckland
"Hunter, James","Early Veterinary Graduates, 1825-1865",1862,"Confunderland, Aberdeenshire"
"Morrison, Alexander","Early Veterinary Graduates, 1825-1865",1862,"Towie, Aberdeenshire"
"Elam, William","Early Veterinary Graduates, 1825-1865",1846,Huddersfield
"Nimmo, Andrew","Early Veterinary Graduates, 1825-1865",1850,Linlithgow
"Mechie, William","Early Veterinary Graduates, 1825-1865",1841,Berwickshire
"Burbage, John H.","Early Veterinary Graduates, 1825-1865",1860,Calcutta
"Morris, John","Early Veterinary Graduates, 1825-1865",1857,Aberdeen
"Kay, James","Early Veterinary Graduates, 1825-1865",1834,Forfar
"Bisset, Benjamin M.","Early Veterinary Graduates, 1825-1865",1864,Brechin
"Chambers, Evander","Early Veterinary Graduates, 1825-1865",1850,Half-pay 1st Dragoons
"M'Culloch, Allan","Early Veterinary Graduates, 1825-1865",1862,Glasgow
"Fisher, John","Early Veterinary Graduates, 1825-1865",1852,Whithaven
"Meiklam, Robert","Early Veterinary Graduates, 1825-1865",1866,East Kilpatrick
"Smith, Benjamin","Early Veterinary Graduates, 1825-1865",1860,Ulverston
"Rutherford, Richard","Early Veterinary Graduates, 1825-1865",1860,Calcutta
"Owles, A. J.","Early Veterinary Graduates, 1825-1865",1848,"Staff Veter. Surgeon, Army"
"Wallier, James, P.S.","Early Veterinary Graduates, 1825-1865",1866,"Grantown, Ross-shire"
"Collins, Francis P.","Early Veterinary Graduates, 1825-1865",1847,16th Lancers
"Walker, Thomas","Early Veterinary Graduates, 1825-1865",1844,"Rothley, Leicestershire"
"Gillespie, Alexander","Early Veterinary Graduates, 1825-1865",1861,Wooler
"Chambers, Robert","Early Veterinary Graduates, 1825-1865",1857,Liverpool
"Pottie, Michael","Early Veterinary Graduates, 1825-1865",1829,Strathmiglo
"Barker, Thomas","Early Veterinary Graduates, 1825-1865",1864,"Stokesley, Yorkshire"
"Armitage, George","Early Veterinary Graduates, 1825-1865",1852,"Fence Houses, county Durham"
"Clarke, John","Early Veterinary Graduates, 1825-1865",1832,"Auchinbowie, Stirling"
"Slater, James","Early Veterinary Graduates, 1825-1865",1853,"Kirkham, Lancashire"
"Wilkie, Alexander","Early Veterinary Graduates, 1825-1865",1831,Forfarshire
"Simpson, George","Early Veterinary Graduates, 1825-1865",1842,Liverpool
"Munn, John","Early Veterinary Graduates, 1825-1865",1852,"Ochiltree, Ayr"
"Cheetham, J. P.","Early Veterinary Graduates, 1825-1865",1828,Keswick
"Nimmo, Alexander","Early Veterinary Graduates, 1825-1865",1827,Linlithgow
"Seton, Henry","Early Veterinary Graduates, 1825-1865",1835,Edinburgh
"Cuming, M. A.","Early Veterinary Graduates, 1825-1865",1846,"St John's, Newfoundland"
"Shea, Thomas","Early Veterinary Graduates, 1825-1865",1859,Dublin
"Tait, James","Early Veterinary Graduates, 1825-1865",1857,Perthshire
"Robertson, Alexander","Early Veterinary Graduates, 1825-1865",1836,"Stonehaven, Kincardine"
"Murray, Peter","Early Veterinary Graduates, 1825-1865",1844,"Tulla, Clare"
"Reid, Peter","Early Veterinary Graduates, 1825-1865",1844,Stirlingshire
"Brainie, George","Early Veterinary Graduates, 1825-1865",1858,"Methley, Yorkshire"
"Dickson, John","Early Veterinary Graduates, 1825-1865",1864,Dumfries
"Kirkham, George","Early Veterinary Graduates, 1825-1865",1843,West Derby
"Fingzies, James","Early Veterinary Graduates, 1825-1865",1860,Kinross
"Danby, Frederick","Early Veterinary Graduates, 1825-1865",1864,"Holtby, Yorkshire"
"Horsburgh, David","Early Veterinary Graduates, 1825-1865",1851,Dalkeith
"Kelbum, Thomas","Early Veterinary Graduates, 1825-1865",1865,"Skelton, Yorkshire"
"Paton, Thomas","Early Veterinary Graduates, 1825-1865",1855,Cape Mounted Rifles
"Wilson, John Marshall","Early Veterinary Graduates, 1825-1865",1858,Military Train
"Crombie, James","Early Veterinary Graduates, 1825-1865",1846,Dunfermline
"Deuchars, Robert","Early Veterinary Graduates, 1825-1865",1849,"Cruden, Aberdeen"
"Taylor, Peter","Early Veterinary Graduates, 1825-1865",1844,Manchester
"Bridge, Roger","Early Veterinary Graduates, 1825-1865",1850,Bury
"Hodgson, Septimus","Early Veterinary Graduates, 1825-1865",1854,Cumberland
"Laing, William","Early Veterinary Graduates, 1825-1865",1826,Banchory
"Bird, James","Early Veterinary Graduates, 1825-1865",1854,Bervie
"Mitchell, James","Early Veterinary Graduates, 1825-1865",1865,Kelso
"Paley, David","Early Veterinary Graduates, 1825-1865",1859,11th Hussars
"Warfolk, Thomas","Early Veterinary Graduates, 1825-1865",1852,Wishaw
"Bradshaw, Charles","Early Veterinary Graduates, 1825-1865",1856,Mauritius
"Mechie, Peter","Early Veterinary Graduates, 1825-1865",1852,Wishaw
"Boag, William M.","Early Veterinary Graduates, 1825-1865",1842,Morpeth
"M'Lean, Daniel","Early Veterinary Graduates, 1825-1865",1861,Royal Artillery
"Watt, James","Early Veterinary Graduates, 1825-1865",1826,Edinburgh
"Kerr, William","Early Veterinary Graduates, 1825-1865",1861,"Beith, Ayrshire"
"Barclay, James","Early Veterinary Graduates, 1825-1865",1844,Perthshire
"Pritchard, Thomas","Early Veterinary Graduates, 1825-1865",1851,Madras
"Edwards, John","Early Veterinary Graduates, 1825-1865",1858,"Abergele, Wales"
"Brownlee, David","Early Veterinary Graduates, 1825-1865",1844,"Coatbridge, Lanarkshire"
"Barker, John","Early Veterinary Graduates, 1825-1865",1838,Australia
"Knight, James","Early Veterinary Graduates, 1825-1865",1839,Renfrewshire
"Farrell, James,","Early Veterinary Graduates, 1825-1865",1851,Dublin
"Donaldson, John","Early Veterinary Graduates, 1825-1865",1835,Paisley
"Pears, Joseph","Early Veterinary Graduates, 1825-1865",1860,Penrith
"Henderson, William","Early Veterinary Graduates, 1825-1865",1841,Roxburghshire
"Edmonston, Andrew","Early Veterinary Graduates, 1825-1865",1835,"Aberargie, Perth"
"Wilson, James","Early Veterinary Graduates, 1825-1865",1850,"Keig,Whitehouse, Aberdeensh."
"Barr, John","Early Veterinary Graduates, 1825-1865",1862,"Irvine, Ayrshire"
"Campbell, Peter","Early Veterinary Graduates, 1825-1865",1843,"Waltrie, Fife"
"Pratt, Thomas","Early Veterinary Graduates, 1825-1865",1858,"Masham, Yorkshire"
"Snowball, Matthew","Early Veterinary Graduates, 1825-1865",1853,Huntly
"Proctor, Thomas","Early Veterinary Graduates, 1825-1865",1843,Liverpool
"Boyce, John H.","Early Veterinary Graduates, 1825-1865",1862,"Adlingfleet, Goole"
"Cross, George","Early Veterinary Graduates, 1825-1865",1834,"Urie, Aberdeenshire"
"Stewart, William","Early Veterinary Graduates, 1825-1865",1824,Aberdeenshire
"Smith, James","Early Veterinary Graduates, 1825-1865",1852,Auchterarder
"Scott, Luke","Early Veterinary Graduates, 1825-1865",1831,Tweedmouth
"Campbell, Thomas","Early Veterinary Graduates, 1825-1865",1859,Kirkcudbrightshire
"Pollock, David","Early Veterinary Graduates, 1825-1865",1862,"Bellshill, Lanark"
"Donaldson, James","Early Veterinary Graduates, 1825-1865",1861,Paisley
"Tallontire, John","Early Veterinary Graduates, 1825-1865",1863,"Skelton, Cumberland"
"Scriven, William","Early Veterinary Graduates, 1825-1865",1836,Aberford
"M'Dougal, Alexander","Early Veterinary Graduates, 1825-1865",1864,Old Kilpatrick
"Constant, Stephen","Early Veterinary Graduates, 1825-1865",1846,5th Dragoon Guards
"Barker, William","Early Veterinary Graduates, 1825-1865",1843,"Middleshro', Yorkshire"
"Lawson, John","Early Veterinary Graduates, 1825-1865",1851,"High Street, Forres"
"Hurst, Henry","Early Veterinary Graduates, 1825-1865",1842,Liverpool
"Wills, Samuel J.","Early Veterinary Graduates, 1825-1865",1861,"Blandford, Dorset"
"Clarke, James","Early Veterinary Graduates, 1825-1865",1855,Musselburgh
"Cunningham, Andrew","Early Veterinary Graduates, 1825-1865",1849,Slateford
"Frater, William","Early Veterinary Graduates, 1825-1865",1830,America
"Thomson, William","Early Veterinary Graduates, 1825-1865",1849,Dunbar
"Leith, William","Early Veterinary Graduates, 1825-1865",1834,"Alford, Aberdeen"
"Gray, Alexander","Early Veterinary Graduates, 1825-1865",1836,Edinburgh
